actual,proposed
0.034712374210357666,0.0
0.042439479380846024,0.0
0.04572610557079315,0.0
0.040277235209941864,0.0
0.030574148520827293,0.0
0.029749134555459023,0.0
0.04203343018889427,0.10022906959056854
0.04980923980474472,0.10062957555055618
0.053143613040447235,0.10108038038015366
0.05210097134113312,0.10154743492603302
0.05546088144183159,0.10199834406375885
0.05880187451839447,0.10246589779853821
0.06212584301829338,0.10294964909553528
0.0523567870259285,0.10344909131526947
0.05147133022546768,0.10386718809604645
0.05498243495821953,0.10427124798297882
0.04975228011608124,0.10469383001327515
0.044619932770729065,0.1050700843334198
0.04394059255719185,0.10540150851011276
0.03893176466226578,0.10572192072868347
0.03401174023747444,0.10599945485591888
0.024817639961838722,0.10623551160097122
0.015765562653541565,0.10639926046133041
0.011207487434148788,0.1064930334687233
0.006718310993164778,0.10655136406421661
0.0,0.10657535493373871
0.0,0.1065339744091034
0.0,0.10642915219068527
0.0,0.10629525780677795
0.0,0.10610098391771317
0.0,0.10581585764884949
0.0,0.10547502338886261
0.0,0.10511244088411331
0.0,0.1047288030385971
0.0,0.10432464629411697
0.0,0.10390057414770126
0.0,0.1034248024225235
0.0,0.10286679118871689
0.0,0.10222890973091125
0.0,0.10151343792676926
0.0,0.10072335600852966
